status,product_area,response,justification,request_type
replied,screen,"Issue 1: Based on the documentation, the only specified inactivity time is for candidates when no interviewers are present: the interview ends automatically after one hour of inactivity. There is no information provided about inactivity times for interviewers, so it is not confirmed whether they are different. Supporting details from the documentation: 1. In the ""End an Interview"" section, it states: ""If no other interviewers are present, the candidate moves to

Sources: End an Interview Ending an Interview / Ending an Interview; Viewing a Candidate's Detailed Test Report Prerequisite Viewing Detailed Reports Key Features of a Detailed Report / Code Playback; Interview Integrity Signals Enabling Interview Integrity Signals How it works Types of suspicious signals / Types of suspicious signals

Issue 2: The issue is likely caused by the system interpreting interviewer inactivity on the HR interface as the interviewer having left the session. If the interviewer is the only other participant besides the candidate, their perceived inactivity can trigger the automatic move to the lobby. According to the ""End an Interview"" documentation, the system behavior is as follows: * ""If no other interviewers are present, the candidate moves to the lobby, and the interview ends automatically after an hour of inactivity."" While this describes an hour-long inactivity timeout, the core mechanism of moving the candidate to the lobby when the system believes the interviewer has left may be what's occurring. The interviewer's focus on observing the screen share, rather than interacting with the HR controls, could be causing the platform to flag them as inactive. The documentation does not explicitly detail activity detection mechanics for interviewers during screen sharing or Observation Mode, nor does it provide a setting to adjust this behavior. The available articles focus on features like Observation Mode for monitoring and image proctoring for candidates, but not on preserving the interview session when an interviewer is passively observing. The documentation does not fully cover this specific case. A human support agent should review to confirm the exact inactivity timeout settings for interviewer screens and explore if there is a configuration to prevent the lobby redirect during active

Sources: End an Interview Ending an Interview / Ending an Interview; April 2026 Release Notes Screen Interview Platform Chakra (AI Interviewer) SkillUp Community Deprecations and Experience Changes / HackerRank Desktop App improvements; Best Practices to Maintain Test Integrity / Image Proctoring

Issue 3: The documentation does not provide a way to extend the inactivity timeout for interviews; it is set to one hour and ends the interview automatically if no other interviewers are present. According to the ""End an Interview"" documentation: ""If no other interviewers are present, the candidate moves to the lobby, and the interview ends automatically after an hour of inactivity."" There are no settings mentioned to adjust or extend this inactivity period for live interviews. For test duration, you can add time accommodation before or after sending invites if the candidate has not started the test, but this does not apply to interview inactivity. Since the documentation does not cover modifying inactivity times for interviews, you may need to contact human support for assistance or to request this feature. Sources: End an Interview, Extend Test Duration for Candidates Add Time Accommodation Add extra time",Multiple intents detected; responses were composed per sub-issue.,product_issue
replied,troubleshooting,"To get help, you need to contact the support team directly. Please provide specific details about what is not working, such as error messages, which part of the product you are using, and what you have already tried. You can reach support by: 1. Clicking the message icon in the lower right corner of the Help Center. Starting a conversation and selecting the relevant option (e.g., ""I can't login""). Or, within a Claude product, clicking your initials in the lower left corner and then selecting ""Get help."" Before contacting support, you can try some general troubleshooting steps: - If using Claude in Chrome, ensure you are using the latest browser version and disable other extensions that might interfere. - If you are experiencing a connection error, check your firewall, network, and VPN settings as they may be blocking the connection to the API endpoint. The documentation does not fully cover your case without more specific details about the problem. Please provide the requested information to the support team for a direct review. Sources: How to get support, Claude in Chrome Troubleshooting, I'm getting an API connection error. How can I fix it?",Grounded response for Unknown/troubleshooting (bug); confidence=0.30; sources=claude\claude\account-management\9015913-how-to-get-support.md#Unable to log in?; claude\claude-in-chrome\12902405-claude-in-chrome-troubleshooting.md#Actions aren't working correctly; claude\safeguards\13171706-crisis-helpline-support-in-claude.md#Need help with Claude itself?.,bug
replied,general,"Thank you for contacting HackerRank support.

I found guidance in Manage Interviews Templates Creating an interview template Sharing an interview template Removing user access from an interview template Renaming an interview template Deleting an interview template Frequently Asked Questions (FAQ). You can remove access for any user or team from an interview template. To remove access: 1. Go to Interviews > Templates. Click the More options (⋮) menu next to the template and select Share. In the Share Interview Template dialog box, select the user or team you want to remove. Select Remove User from the drop-down menu.

If this does not match your exact case, a human support agent can review the ticket and route it correctly.

Sources: Manage Interviews Templates Creating an interview template Sharing an interview template Removing user access from an interview template Renaming an interview template Deleting an interview template Frequently Asked Questions (FAQ) / Removing user access from an interview template; Manage Interviews Templates Creating an interview template Sharing an interview template Removing user access from an interview template Renaming an interview template Deleting an interview template Frequently Asked Questions (FAQ) / Removing user access from an interview template; Share a Question Prerequisite Sharing a question Transferring ownership of a question Removing access from a question / Removing access from a question",Grounded response for HackerRank/general (product_issue); confidence=0.81; sources=hackerrank\interviews\manage-interviews\2837093779-standardizing-interviews-using-templates.md#Removing user access from an interview template; hackerrank\interviews\manage-interviews\2837093779-standardizing-interviews-using-templates.md#Removing user access from an interview template; hackerrank\library\manage-question\6697457900-share-a-question.md#Removing access from a question.,product_issue
replied,general,"Thank you for contacting HackerRank support.

I found guidance in Pause Subscription. Last updated: Mar 6, 2026, 12:18 AM The Pause Subscription feature allows individual self-serve plan subscribers to temporarily pause their HackerRank subscription instead of canceling it. This feature enables you to resume your subscription whenever needed, ensuring flexibility and uninterrupted access when required.

If this does not match your exact case, a human support agent can review the ticket and route it correctly.

Sources: Pause Subscription; Pause Subscription / Resuming Your Subscription; Pause Subscription / How to Pause Your Subscription",Grounded response for HackerRank/general (product_issue); confidence=0.64; sources=hackerrank\settings\user-account-settings-and-preferences\5157311476-pause-subscription.md#Pause Subscription; hackerrank\settings\user-account-settings-and-preferences\5157311476-pause-subscription.md#Resuming Your Subscription; hackerrank\settings\user-account-settings-and-preferences\5157311476-pause-subscription.md#How to Pause Your Subscription.,product_issue
replied,general,"Claude is likely experiencing high system-wide demand causing temporary capacity constraints, which is preventing responses. This is not a permanent outage. When capacity is constrained, you may see the message: ""Due to unexpected capacity constraints, Claude is unable to respond to your message. Please try again soon."" To proceed: 1. Wait a few minutes and try your request again. Capacity issues are temporary and typically resolve as demand patterns shift. If the issue persists for an extended period, it may be a different problem. The documentation does not provide further troubleshooting steps for a complete failure to respond beyond waiting. Note: Capacity constraints are not listed on the status page because they are part of normal load management. The status page only reflects technical outages. Sources: Troubleshoot Claude error messages / Capacity constraints",Grounded response for Claude/general (bug); confidence=0.77; sources=claude\claude\troubleshooting\12466728-troubleshoot-claude-error-messages.md#Capacity constraints; claude\claude\features-and-capabilities\10574485-using-extended-thinking.md#How to use extended thinking mode; claude\claude\features-and-capabilities\14128542-let-claude-use-your-computer-in-cowork.md#Safety.,bug
escalated,general_support,This ticket involves potential fraud or identity theft and requires immediate attention from our security team. A human agent will review this case shortly.,"Escalated: fraud or identity theft indicators detected. Company=Visa, area=general_support, gate=hard_rule, confidence=1.00.",product_issue
replied,general,"The HackerRank Resume Builder may be experiencing a temporary outage or technical issue. To troubleshoot, try the following steps: 1. Clear your browser's cache and cookies. Try accessing the Resume Builder from a different browser or incognito/private mode. Check the HackerRank Community status page or official social media channels for any announcements about system-wide issues. If the problem persists after these steps, the documentation does not fully cover this case. A human support agent should review your report. To create a resume when the tool is accessible, you can: 1. Log in to the HackerRank Community. Click the App Switcher (grid icon) in the top-right corner. Select Resume Builder from the dropdown menu. Choose to create a resume from an existing file by clicking ""Import Resume"" or from scratch by clicking ""Create New"". Sources: Create a Resume with Resume Builder, Introduction to HackerRank Community",Grounded response for HackerRank/general (product_issue); confidence=0.90; sources=hackerrank\hackerrank_community\additional-resources\job-search-and-applications\9106957203-create-a-resume-with-resume-builder.md#Create a Resume with Resume Builder; hackerrank\hackerrank_community\additional-resources\job-search-and-applications\9106957203-create-a-resume-with-resume-builder.md#Creating a resume from an existing file; hackerrank\hackerrank_community\additional-resources\job-search-and-applications\9106957203-create-a-resume-with-resume-builder.md#Creating a resume from scratch.,product_issue
replied,screen,"You can update the name on your certificate, but this change can only be done once per account. When you update it, the new name will apply to all of your HackerRank certificates, and you will not be able to change it again. To update the name on your certificate, follow these steps: 1. Open your certificate page. In the Full Name field, enter the name you want to display. In the confirmation dialog, click Update Name. Your certificate will be updated with the new name.

Sources: Certifications FAQs; Certifications FAQs; Getting Started with Single Sign-On Prerequisites Steps to enable SSO SSO endpoints Updating certificates / Updating certificates",Grounded response for HackerRank/screen (product_issue); confidence=0.92; sources=hackerrank\hackerrank_community\certifications\8941367927-certifications-faqs.md#Certifications FAQs; hackerrank\hackerrank_community\certifications\8941367927-certifications-faqs.md#Certifications FAQs; hackerrank\integrations\single-sign-on-sso\4264962721-getting-started-with-single-sign-on.md#Updating certificates.,product_issue
replied,dispute,"To dispute a charge, you must contact your card issuer or bank directly. You should call the freephone number located on the front or back of your Visa card. Please note that this number is only free when dialling from within the USA. Your issuer or bank will likely require detailed information about the transaction before they can resolve the dispute. Sources: Visa Consumer Support / How do I dispute a charge?",Grounded response for Visa/dispute (product_issue); confidence=0.95; sources=visa\support.md#How do I dispute a charge?; visa\support\small-business\dispute-resolution.md#Step 1: A cardholder disputes a transaction; visa\support\small-business\dispute-resolution.md#Safeguard your business with the right information.,product_issue
escalated,privacy,This ticket involves a security concern that requires review by our specialized security team.,"Escalated: security concern requiring specialized review. Company=Claude, area=privacy, gate=hard_rule, confidence=1.00.",bug
replied,privacy,"To block Anthropic's crawler (ClaudeBot) from your website, you need to modify your site's robots.txt file. Locate the robots.txt file in the top-level directory of your website (e.g., 2. Add the following entries to block crawling across your entire site: User-agent: ClaudeBot Disallow: / 3. If you want to limit rather than fully block crawling, you can set a crawl delay using the non-standard Crawl-delay extension: User-agent: ClaudeBot Crawl-delay: 1 4. Repeat this for every subdomain you want to opt out from crawling. Important notes: - Blocking IP addresses that Anthropic's crawler uses will not reliably work as an alternative. IP-based blocking may prevent Anthropic from reading your robots.txt file, which means your opt-out may not persist. Modifying robots.txt is the recommended and supported method. - To verify a crawler is from Anthropic, the source IP address should appear in Anthropic's published list of bot IPs at the URL referenced in their crawling documentation. If you have already updated your robots.txt and believe your content is still being crawled, or if you need to request removal of specific content that has already been indexed, you can submit a report through Anthropic's content reporting process for further assistance. Sources: Does Anthropic crawl data from the web, and how can site owners block the crawler?","Grounded response for Claude/privacy (product_issue); confidence=0.85; sources=claude\privacy-and-legal\8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md#Does Anthropic crawl data from the web, and how can site owners block the crawler?; claude\privacy-and-legal\8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md#Related Articles; claude\safeguards\7996906-reporting-blocking-and-removing-content-from-claude.md#Related Articles.",product_issue
escalated,general_support,I could not find enough trusted support documentation to answer this safely. A human agent will review and route this case.,"Escalated: insufficient documentation to provide a grounded answer. Company=Visa, area=general_support, gate=confidence_gate, confidence=0.10.",product_issue
replied,privacy,"If you are participating in the Development Partner Program and sharing your Claude Code sessions to help improve models, your data will be stored securely for up to two years. Data used for model training will not be associated with other customer information. Even if you leave the program at any time, any previously provided data will still be stored for up to that two-year period. If you are using Claude for PowerPoint, Excel, or Word (rather than Claude Code), inputs and outputs are automatically deleted within 30 days of receipt or generation, with a short-term cache of a few hours so you can access context in recently closed documents. If you have questions about how to leave the program or need account-specific assistance, please contact a human support agent. Sources: About the Development Partner Program, Use Claude for PowerPoint / Current limitations, Use Claude for Excel / Current limitations, Use Claude for Word / Current limitations",Grounded response for Claude/privacy (product_issue); confidence=0.88; sources=claude\claude-api-and-console\using-the-claude-api-and-console\11174108-about-the-development-partner-program.md#About the Development Partner Program; claude\claude\features-and-capabilities\13521390-use-claude-for-powerpoint.md#Current limitations; claude\claude\features-and-capabilities\12650343-use-claude-for-excel.md#Current limitations.,product_issue
escalated,account_management,"We cannot process this request as it involves potentially harmful actions. If you have a legitimate need, please contact our support team directly.","Escalated: potentially harmful action request. Company=Unknown, area=account_management, gate=hard_rule, confidence=1.00.",product_issue
escalated,general,This ticket involves potential fraud or identity theft and requires immediate attention from our security team. A human agent will review this case shortly.,"Escalated: fraud or identity theft indicators detected. Company=Visa, area=general, gate=hard_rule, confidence=1.00.",product_issue
replied,features,"All requests to Claude via AWS Bedrock failing typically indicates either a credentials issue or a model access/region configuration issue. Here are the steps to troubleshoot: 1. Verify your AWS credentials are working correctly by running `aws sts get-caller-identity` from the command line. If this fails, your AWS credentials are not properly configured. Confirm the `AWSREGION` environment variable is set to a region where your requested Claude model is enabled. Not all Claude models are available in every Bedrock region. Check that the specific Claude model you are requesting is enabled in your Bedrock console for that region. You can verify this in the AWS Bedrock console under ""Model access."" 4. If using Claude Code, you can quickly test by running `/model` and selecting a model you know you have access to, to isolate whether the issue is model-specific. If you are using Claude Code with Vertex instead, confirm that `gcloud auth application-default login` has been run and that `ANTHROPICVERTEXPROJECTID` and `CLOUDMLREGION` are set correctly. If none of these steps resolve the issue, you will need to contact AWS support directly, since Claude usage through Bedrock is managed by AWS. Anthropic cannot access or modify your Bedrock configuration, credentials, or billing. For billing or refund inquiries related to Bedrock usage, those are handled through AWS and are non-refundable per Anthropic's policy unless you have a private offer and direct contract with Anthropic. If

Sources: Troubleshoot Claude Code installation and authentication / 10. It installed and authenticated, but every request errors with 403 / ""model not available.""; Troubleshoot Claude Code installation and authentication / 9. Bedrock / Vertex: ""Could not load credentials.""; I use Claude in Amazon Bedrock. Who do I contact for customer support inquiries? / How can I get a refund for my usage through Amazon Bedrock?","Grounded response for Claude/features (bug); confidence=0.53; sources=claude\claude-code\launch-guides\14552646-troubleshoot-claude-code-installation-and-authentication.md#10. It installed and authenticated, but every request errors with 403 / ""model not available.""; claude\claude-code\launch-guides\14552646-troubleshoot-claude-code-installation-and-authentication.md#9. Bedrock / Vertex: ""Could not load credentials.""; claude\amazon-bedrock\7996921-i-use-claude-in-amazon-bedrock-who-do-i-contact-for-customer-support-inquiries.md#How can I get a refund for my usage through Amazon Bedrock?.",bug
replied,settings,"To remove a former employee from your HackerRank hiring account, you must request deletion through HackerRank support, as there is no direct option in the settings to remove a user from your organization. Steps to Request Deletion: 1. Submit a request by emailing support@hackerrank.com or by using the Submit a Request form. You will need to log in to the HackerRank platform to use the form. In your request, specify that you need to delete data for a former employee or candidate. You must provide the relevant list of candidates to be deleted. Alternatively, if you have an assigned Customer Success Manager or Account Manager, you can route the request through them. Important Details: Only company admins have the ability to delete individual candidate profiles directly from the platform. For removing a former team member from your organization's hiring account, a support request is the required process. Once HackerRank receives your request and the list of individuals, they will anonymize the data within 14 days and notify you upon completion. * Deleted data cannot be reinstated. If you need to delete your own personal HackerRank Community account, you can do so via the Settings page by scrolling to the ""Delete Accounts"" section. This is separate from managing your organization's hiring account. Sources: Delete an Account, GDPR FAQs for HackerRank for Work",Grounded response for HackerRank/settings (product_issue); confidence=0.55; sources=hackerrank\settings\gdpr-and-nyc-ai-laws\2634495557-gdpr-faqs-for-hackerrank-for-work.md#GDPR FAQs; hackerrank\hackerrank_community\account-settings\manage-account\5618101592-delete-an-account.md#Delete an Account; hackerrank\settings\gdpr-and-nyc-ai-laws\2634495557-gdpr-faqs-for-hackerrank-for-work.md#GDPR FAQs.,product_issue
replied,api,"To set up the Claude LTI for your students in Canvas, you need to complete three main steps: enable the integration in your Claude for Education organization settings, create a developer key in Canvas, and install the LTI app. Here is the full process: Step 1: Enable the Claude LTI Integration in Claude for Education 1. Sign in to Claude for Education as an administrator. Navigate to Organization settings > Connectors. Find Canvas and click ""Enable."" 4. In the settings modal, enter the following: - Canvas Domain - Client ID (you will get this from Step 2 below) - Deployment ID (found in Canvas Admin -> Settings -> Apps -> View App Configurations -> Claude LTI Settings Button -> Deployment ID) 5. Click ""Save Changes."" Step 2: Create a Claude LTI Developer Key in Canvas 1. In Canvas, sign in as an administrator and navigate to Admin -> Developer Keys. Click ""+ Developer Key"" then ""+ LTI Key."" 3. Enter the following information: - Key Name: Claude LTI - Description: Enter a short description for the LTI 1.3 app - Redirect URIs: - Title: Claude LTI - Target Link URI: - OpenID Connect Initiation Url: - JWK method: 4. Under Additional Settings, toggle Privacy Level to Public. Under Placements, we recommend removing the defaults and adding ""Course Navigation"" and ""Assignment Edit"" as the options. Save the key and note the Client ID it generates — you will need this to complete Step 1. Step 3: Install Claude LTI as an App in Canvas 1. In Canvas, go to Admin -> Settings -> Apps.

Sources: Set up the Claude LTI in Canvas by Instructure / Turn on the Claude LTI Integration in Claude for Education organization settings; Set up the Claude LTI in Canvas by Instructure / Questions; Set up the Claude LTI in Canvas by Instructure / Installing Claude LTI as an App",Grounded response for Claude/api (product_issue); confidence=0.74; sources=claude\claude-for-education\11725453-set-up-the-claude-lti-in-canvas-by-instructure.md#Turn on the Claude LTI Integration in Claude for Education organization settings; claude\claude-for-education\11725453-set-up-the-claude-lti-in-canvas-by-instructure.md#Questions; claude\claude-for-education\11725453-set-up-the-claude-lti-in-canvas-by-instructure.md#Installing Claude LTI as an App.,product_issue
replied,general_support,"Yes, merchants in the US Virgin Islands are permitted to set a minimum transaction amount of US$10 for Visa credit card payments. According to Visa's policy, in general, a merchant is not permitted to establish a minimum or maximum amount for a Visa transaction. However, there is a specific exception for the USA and its territories, which includes the US Virgin Islands. In these locations, and only for credit cards, a merchant may require a minimum transaction amount of US$10. If you are using a Visa debit card, this minimum does not apply, and the merchant should not be refusing the transaction based on a minimum amount. If you believe the merchant is not following these rules, you should notify your Visa card issuer. Sources: Visa Consumer Support / Can a merchant set a maximum or minimum limit for using my Visa card?",Grounded response for Visa/general_support (product_issue); confidence=0.83; sources=visa\support.md#Can a merchant set a maximum or minimum limit for using my Visa card?; visa\support.md#Can a merchant set a maximum or minimum limit for using my Visa card?; visa\support.md#I have concerns about a place where I used my Visa card. What should I do?.,product_issue
